id,Date,User,Tweet,Media,Likes,Retweets,Comments
49,2022-04-19 19:30:19+00:00,amconmag,"“If China breaches again, Russia will not come running to India’s defense.” https://t.co/qoNpQ8Jdx7",,3,3,0
50,2022-03-31 18:06:16+00:00,amconmag,"""Can you tell me one behavior Russia has changed because of a sanction?"" 

@RandPaul addresses an attentive room this afternoon at #UpFromChaos https://t.co/brc44sfJW4",https://pbs.twimg.com/media/FPMmZ5PXIAconGz?format=jpg&name=large,19,3,3
51,2022-03-29 16:01:25+00:00,amconmag,"""Exactly what threat does Russia’s invasion of Ukraine present to us that is so grave we would consider military action that could lead to World War III and Russia’s use of battlefield nuclear weapons against us?"" https://t.co/Yws8gVoJNK",,4,2,1
52,2022-03-25 21:30:12+00:00,amconmag,"""For years, the Kremlin made it emphatically clear that inviting Ukraine to join NATO would cross a red line that threatened Russia’s vital security interests."" https://t.co/GyRJFnZK9d",,4,3,4
53,2022-03-24 21:30:17+00:00,amconmag,"""While the success or failure of Russia’s intervention remains uncertain, Ukraine has been apocalyptic for European power, unveiling its absence."" https://t.co/ECyYSf4w99",,6,2,2
54,2022-03-22 14:02:55+00:00,amconmag,"Russia has invaded Ukraine, the world is in chaos, and Washington’s failed bipartisan foreign policy consensus is to blame.

On 3/31, join us &amp; @AmMomentOrg for an emergency conference on what comes next.

Get tickets today → https://t.co/gGCoUPkMvr

https://t.co/om2L2HWMY3",https://pbs.twimg.com/amplify_video_thumb/1506264670319128580/img/jsmRMHl7wDnY4l6b.jpg,38,15,7
55,2022-03-21 17:01:11+00:00,amconmag,"""It is not likely NATO would risk war with Russia, and a potential third world war, if Russia declared a truce once it got full control of eastern Ukraine."" https://t.co/q3M2BRQzSl",,1,1,2
56,2022-03-19 12:30:00+00:00,amconmag,"NEW: ""As of now, the winner of this Russia-Ukraine war appears to be China."" https://t.co/q3M2BRQzSl",,8,4,3
57,2022-03-17 12:30:04+00:00,amconmag,"NEW: ""Claims to be surprised and shocked by Moscow’s complaints are careless at best, dishonest at worst. The West thought there was nothing Russia could do. Alas, the U.S. and its allies were wrong."" https://t.co/uC9HFgUODR",,8,2,3
58,2022-03-17 12:00:16+00:00,amconmag,"NEW: ""Many have tried to compare Russia’s invasion of Ukraine to Hitler’s 1939 invasion of Poland. A much better comparison is Soviet action during the Hungarian Revolution of 1956."" https://t.co/JlmCj2Zc6c",,6,2,0
59,2022-03-15 16:30:19+00:00,amconmag,"""While we support Kiev in its just war, there are limits to that support. We are not going to risk war with Russia for the independence or territorial integrity, or even the continued existence, of Ukraine."" https://t.co/U5tWYuInEV",,2,2,0
60,2022-03-15 16:00:28+00:00,amconmag,"Writes @SenRandPaul: ""A policy of restraint can argue simultaneously that admitting Ukraine into NATO is foolishly provocative and that Russia’s aggression is unjustified.""  https://t.co/E7AEYa56Ub",,2,1,0
61,2022-03-14 21:30:00+00:00,amconmag,. @SenRandPaul: “A policy of restraint can argue simultaneously that admitting Ukraine into NATO is foolishly provocative and that Russia’s aggression is unjustified.”  https://t.co/E7AEYa56Ub,,2,0,0
62,2022-03-14 18:49:33+00:00,amconmag,"NEW: Up From Chaos: Conserving American Security

Russia has invaded Ukraine, the world is in chaos, and DC's decades-long, failed, bipartisan foreign policy consensus is to blame. 

Join us &amp; @AmMomentOrg for an emergency conference on what comes next.

https://t.co/2fZRNfYGb8",,24,14,4
63,2022-03-11 17:00:07+00:00,amconmag,"""Is Russia bluffing, or is it giving the West fair warning of its new capabilities?"" https://t.co/ppvz1eAmd9",,3,0,0
64,2022-03-11 13:30:13+00:00,amconmag,"NEW: ""Russia’s war in Ukraine has shaken every political consensus in Europe...The same will happen with the European Green Deal, the mothership of Europe’s environmental ambitions."" https://t.co/a8ES3ErIjW",,3,2,2
65,2022-03-10 21:30:17+00:00,amconmag,"""With an economy smaller than the state of Texas, Russia has built strategic weapons superior to many in the American arsenal."" https://t.co/ppvz1eAmd9",,4,1,1
66,2022-03-10 16:30:00+00:00,amconmag,"""If Poland delivered the MiG-29s to the U.S. Ramstein Air Base in Germany, those planes would fly directly from the U.S. and NATO base to Ukraine, where the airspace is almost completely dominated by Russia."" https://t.co/MOvj2NOxAQ",,2,1,0
67,2022-03-10 13:00:54+00:00,amconmag,"NEW: ""If Russia and China do not have a strategic advantage yet, they will, on the present trajectory, have a strategic advantage in a very few years."" https://t.co/ppvz1eAmd9",,2,2,1
68,2022-03-09 18:00:42+00:00,amconmag,"""Russia is the world’s leading producer of wheat; Ukraine is fifth. Together, they are responsible for some 30 percent of the world’s wheat exports."" https://t.co/WE9TYObTde",,16,11,1
69,2022-03-09 14:00:15+00:00,amconmag,"NEW: ""The E.U. member states are divided and confused on what to do over Ukraine because Russia’s economic partnership is far more important to several of the older members than Ukraine is."" https://t.co/rxQmSyyh0I",,2,4,0
70,2022-03-09 01:00:37+00:00,amconmag,"""They have underestimated how much anger there is among the public and people’s willingness to go out onto the streets,” Ben Noble, a Russia expert at University College London has warned. https://t.co/4IlUziRVtr",,3,2,0
71,2022-03-08 22:00:30+00:00,amconmag,"NEW: ""Russia’s Ministry of Defense warned that countries providing support for the Ukrainian Air Force...'could be considered as those countries’ engagement in the military conflict.'"" https://t.co/rYYr6EdlNn",,7,2,2
72,2022-03-08 13:00:48+00:00,amconmag,"NEW: ""If anything, the war should renew Western interest in Russian history and culture, so we might better understand Russia’s motivations; simplistic, Manichaean narratives won’t do,"" writes @SohrabAhmari. https://t.co/YA7l7s0QvX",,44,13,1
73,2022-03-02 13:00:42+00:00,amconmag,"NEW: ""President Biden’s policy is all-out economic war against Russia, with a strict red line against actual U.S. military involvement. That recalls some vital conjunctures in American history."" https://t.co/RkX2cTimoR",,5,4,2
74,2022-03-01 00:30:07+00:00,amconmag,"""Durham seems intent on exposing the larger conspiracy, including the Russia dossier and now electronic spying by the Clinton campaign."" https://t.co/R4Kff5GkUV",,5,1,0
75,2022-02-26 15:30:15+00:00,amconmag,"NEW: ""Days into this Russia-Ukraine war, potentially the worst in Europe since 1945, two questions need to be answered: How did we get here? And where do we go from here?"" https://t.co/J8BrJRezOy",,9,7,1
76,2022-02-25 13:03:14+00:00,amconmag,"""What Americans are witnessing now, half a world away, is the result of decades of misguided policy towards Russia."" https://t.co/2BxMbDxaBB",,10,6,1
77,2022-02-24 17:30:00+00:00,amconmag,"""Some European governments want to drag Washington into a permanent confrontation with Russia that is in neither America’s nor Europe’s interest."" https://t.co/eU86xk5UPg",,7,6,4
78,2023-01-11 17:43:00+00:00,thedispatch,"""Here’s the good news. So long as American support remains solid, Russia doesn’t have the capacity to overcome Ukraine.

And if America and its NATO allies supply Ukraine with Western armor, then Russia might not withstand it.""

@DavidAFrench today:
https://t.co/FUE6jawabj",,15,0,0
79,2022-12-08 14:35:31+00:00,thedispatch,"Brittney Griner has been freed.

Yet many Americans are still behind bars in other countries—including Russia.

https://t.co/IpMazHymnC",,11,4,0
80,2022-11-11 18:13:26+00:00,thedispatch,"6 weeks ago, Putin said illegally annexed regions of Ukraine, including Kherson, would be part of Russia “forever.”

Maybe “forever” means different things in different places. For the city of Kherson, it’s turning out to mean “a couple of months, tops.”

https://t.co/2A56uSLuSS",,11,2,0
81,2022-11-04 14:36:13+00:00,thedispatch,"We could excerpt from @klonkitchen's latest newsletter about the U.S. beating China and Russia to become the leader of the International Telecommunications Union - the UN agency which sets international ICT policy.

Or, we could just show you raw footage of his reaction: https://t.co/LweY1iZKhx",https://pbs.twimg.com/ext_tw_video_thumb/1588540619701592067/pu/img/Y7lxI-_V-2AnLY3v.jpg,31,4,2
82,2022-11-04 13:26:05+00:00,thedispatch,"""Last week, Putin threatened to blockade Ukrainian grain exports, claiming that Ukrainian ship movement was a threat to Russian security. But Ukraine kept shipments going anyways.

In short, Ukraine called Russia's bluff.""

From @lawsonreports:
https://t.co/wBqGZXn9fF",,9,2,1
83,2022-11-02 15:21:49+00:00,thedispatch,"""Putin now says Russia is at war with Western “satanism” because the cupboard is bare of more plausible lies.

What he doesn’t do is offer an alternative to Western values. He uses liberal labels to justify his brutal will to power.""

from @JonahDispatch:
https://t.co/aaN2uKHM8J",,41,11,3
84,2022-10-26 17:08:04+00:00,thedispatch,"30 House progressives signed a letter demanding direct negotiations with Russia. The next day, amidst huge backlash, the same group retracted their own letter.

In the words of @allahpundit, ""It’s the most shambolic retreat since the Russian army ran screaming out of Kharkiv."" https://t.co/AZim6BXPKa",https://pbs.twimg.com/media/FgAtt3dXwAg42O5?format=jpg&name=large,50,12,3
85,2022-10-21 16:08:52+00:00,thedispatch,"The Russian government has denied that their army is using Iranian ""kamikaze"" drones in Ukraine. Except when defense ministry officials are captured on hot mic saying the opposite.

Today @lawsonreports dives deeper into the deepening Iran-Russia alliance:
https://t.co/WekmiTz2f4",,59,20,0
86,2022-10-18 16:34:41+00:00,thedispatch,"""Meloni has positioned her party as the most pro-Ukrainian political force in Italy, calling for tougher sanctions on Russia and more weapons to Kyiv...

Yet the silence from Biden on the election result in Italy has been deafening.""

from Robert Tyler:
https://t.co/s3KlXxTp1A",,18,7,1
