id,Date,User,Tweet,Media,Likes,Retweets,Comments
36,2022-09-21 19:48:36+00:00,POTUS,"I joined UN Secretary-General @AntonioGuterres to reaffirm the partnership between the U.S. and the United Nations.
 
We discussed the threat of Russia's war in Ukraine to the UN Charter and global community and the need for swift action to address climate and food insecurity. https://t.co/Chmwsv9IeF",https://pbs.twimg.com/media/FdNC0uQWYAEbkI2?format=jpg&name=large,6966,1275,1000
37,2022-09-20 15:31:35+00:00,POTUS,"Folks, gas prices are now back to levels they were at in early March.

That means nearly all of the increases since the beginning of Russia’s war in Ukraine have been wiped out.",,81417,12623,18226
38,2022-09-06 16:13:00+00:00,POTUS,"Congratulations to Prime Minister Liz Truss.

I look forward to deepening the special relationship between our countries and working in close cooperation on global challenges, including continued support for Ukraine as it defends itself against Russian aggression.",,20506,2573,2375
39,2022-08-25 17:25:01+00:00,POTUS,"I spoke with President Zelenskyy to congratulate Ukraine as it marks its Independence Day.

I know it is a bittersweet anniversary, but I made it clear that the United States would continue to support Ukraine and its people as they fight to defend their sovereignty. https://t.co/9NiDBGej1Z",https://pbs.twimg.com/media/FbBfCREXkAAc0Tw?format=jpg&name=large,33728,3990,4511
40,2022-08-24 12:51:18+00:00,POTUS,"Today, I congratulate the people of Ukraine on their Independence Day. 
 
The Ukrainian people have inspired the world with their courage and dedication to freedom. We are committed to continuing to support them as they defend their sovereignty and their democracy.",,44614,7127,6096
41,2022-08-08 17:59:33+00:00,POTUS,"Today, the United States has authorized our biggest security assistance package to date for Ukraine.

This package will get additional ammunition, weapons, and equipment to Ukraine to help meet their critical security needs as they defend their country.",,32234,4318,14302
42,2022-08-04 15:51:54+00:00,POTUS,"Putin is still waging his war in Ukraine, putting pressure on global oil supply, and families can feel it.

But we stepped up to release one million barrels of oil a day from our Reserve, and rallied our global partners to release from theirs. Now, prices are on a record decline.",,27669,4464,7022
43,2022-08-03 16:29:19+00:00,POTUS,"This morning, I held a secure phone call with my national security team. 
 
We discussed a wide range of priorities, including the United States’ support of a free and open Indo-Pacific and our continued support for Ukraine in response to Putin’s war. https://t.co/1tVJCJHvJD",https://pbs.twimg.com/media/FZP_To7XEAMZdEn?format=jpg&name=large,13294,1797,3562
44,2022-07-19 22:20:02+00:00,POTUS,"First Lady of Ukraine Olena Zelenska embodies the same tenacity and resilience as the country she hails from.

It was an honor for Jill and me to welcome her to the White House this afternoon. https://t.co/X8liTFT8Yw",https://pbs.twimg.com/media/FYD_u4PXkAA9OI7?format=jpg&name=large,24936,3398,2654
45,2022-07-19 15:15:00+00:00,POTUS,"When Putin further invaded Ukraine and oil prices went up, the industry was quick to increase prices at the pump.

But now that oil is lower, Americans haven’t seen those savings.

I want lower prices to benefit consumers – not prop up profits.",,33073,5595,8346
46,2022-06-30 15:57:55+00:00,POTUS,"Earlier this year, the U.S. surged 20,000 additional U.S. forces to Europe to strengthen our NATO Alliance in response to Russia’s aggression against Ukraine and the changing security environment.

We’ll continue to adjust our posture to ensure the defense of our Allies:",,12458,1849,2436
47,2022-06-29 20:35:02+00:00,POTUS,"In a moment when Putin has shattered peace in Europe and attacked the very tenets of the rules-based order, the United States and our Allies are stepping up to support Ukraine and boost our defenses. 

We’re proving that NATO is more needed now than it ever has been. https://t.co/vGTgRHCgAZ",https://pbs.twimg.com/media/FWcn55EWAAQUDko?format=jpg&name=large,20325,3483,2830
48,2022-06-27 23:40:14+00:00,POTUS,"We could have turned a blind eye to Putin’s barbaric war against Ukraine and the price of gas wouldn’t have spiked the way it has, but America rose to the moment.

We proudly stand with Ukraine. https://t.co/zF2XfkJjp7",https://pbs.twimg.com/media/FWS_HUXWIAEvZs4.jpg,16198,2645,4882
49,2022-06-27 22:35:02+00:00,POTUS,"Together, the G7 will deliver unwavering, unified commitment to support Ukraine and build on our unprecedented sanctions to hold President Putin accountable – sanctions that will only compound over time to further isolate Russia from the world economy. https://t.co/EJlINtkEfm",https://pbs.twimg.com/media/FWSwMHtWYAQ9HMW?format=jpg&name=large,6967,1518,1393
50,2022-06-27 22:10:35+00:00,POTUS,"Russia's attack on civilians at a shopping mall is cruel. We stand in solidarity with the Ukrainian people.

As demonstrated at the G7 Summit, the U.S. along with our allies and partners will continue to hold Russia accountable for such atrocities and support Ukraine’s defense.",,29166,4613,3787
51,2022-06-26 17:10:47+00:00,POTUS,This morning I met with @Bundeskanzler Olaf Scholz to discuss our common objective of supporting Ukraine in the defense of its democracy against Russian aggression and a range of shared priorities the G7 will advance together. https://t.co/zRXXsc3Kgl,https://pbs.twimg.com/media/FWMcY3tWQAEzzBO?format=jpg&name=large,15151,1857,1996
52,2022-06-26 06:30:00+00:00,POTUS,"The United States has imposed unprecedented costs on Putin to deny him the revenue he needs to fund his war against Ukraine.

Together, the G7 will announce that we will ban the import of Russian gold, a major export that rakes in tens of billions of dollars for Russia.",,34320,5480,5643
53,2022-06-22 17:40:31+00:00,POTUS,"I’m doing everything I can to blunt the Putin Price Hike and bring down the cost of gas and food.

I led the world to coordinate the largest release from global oil reserves in history, and I’m working to get 20 million tons of grain out of Ukraine to help bring down prices.",,39687,6901,17728
54,2022-06-17 17:34:41+00:00,POTUS,"The Major Economies Forum met today at a moment when urgent energy issues demand our action.

Russia's brutal assault on Ukraine has fueled a global energy crisis, driving up inflation worldwide.

We must work together to tackle inflation and mitigate the fallout of this crisis.",,9729,2050,3188
55,2022-06-16 02:00:00+00:00,POTUS,"This morning, I spoke with President Zelenskyy to discuss Russia’s brutal and ongoing war against Ukraine. I reaffirmed our commitment to stand by Ukraine and shared that the United States is providing over $1.2 billion in additional security and humanitarian assistance.",,47440,6491,11907
56,2022-05-21 19:10:12+00:00,POTUS,"Today I signed the Additional Ukraine Supplemental Appropriations Act of 2022. This law will allow us to continue sending security, economic, and humanitarian assistance to the people of Ukraine as they continue to defend their democracy and freedom. https://t.co/kqICAxrski",https://pbs.twimg.com/amplify_video_thumb/1528090756157685760/img/Cq_0iQH8NAAFrgo5.jpg,14553,2584,4155
57,2022-05-20 16:31:20+00:00,POTUS,"We’ve seen just how critical it is. A global semiconductor shortage is contributing to higher prices around the world. And now, Putin’s brutal and unprovoked war on Ukraine has further spotlighted the need to secure our critical supply chains.",,5894,868,665
